"GO.ID","Term","Annotated","Significant","Expected","Rank in classicKS","classicKS","classicFisher","elimFisher","elimKS"
"GO:0006606","protein import into nucleus",33,2,3.28,1,"7.3e-05","0.86","0.86","7.3e-05"
"GO:0051170","import into nucleus",35,2,3.48,2,"9.7e-05","0.88","0.88","0.7781"
"GO:0034220","ion transmembrane transport",180,12,17.9,3,"0.00015","0.96","0.96","0.1377"
"GO:0006810","transport",830,86,82.56,4,"0.00081","0.34","0.55","0.6992"
"GO:0006811","ion transport",297,26,29.54,5,"0.00093","0.79","0.79","0.7804"
"GO:0051591","response to cAMP",10,1,0.99,6,"0.00098","0.65","0.65","0.1282"
"GO:0051234","establishment of localization",849,87,84.45,7,"0.00107","0.39","0.59","0.6478"
"GO:0006812","cation transport",212,15,21.09,8,"0.00141","0.95","0.95","0.4913"
"GO:0055085","transmembrane transport",233,23,23.18,9,"0.00141","0.55","0.55","0.3779"
"GO:0050806","positive regulation of synaptic transmis...",56,5,5.57,10,"0.00177","0.67","0.67","0.0018"
