"GO.ID","Term","Annotated","Significant","Expected","Rank in elimKS","elimKS","classicFisher","elimFisher","classicKS"
"GO:0006606","protein import into nucleus",33,2,3.28,1,"7.3e-05","0.86","0.86","7.3e-05"
"GO:0050806","positive regulation of synaptic transmis...",56,5,5.57,2,"0.0018","0.67","0.67","0.0018"
"GO:0098656","anion transmembrane transport",45,1,4.48,3,"0.0022","0.99","0.99","0.0022"
"GO:0071320","cellular response to cAMP",7,0,0.7,4,"0.0029","1.00","1.00","0.0029"
"GO:1904064","positive regulation of cation transmembr...",26,0,2.59,5,"0.0031","1.00","1.00","0.0031"
"GO:0010659","cardiac muscle cell apoptotic process",11,0,1.09,6,"0.0035","1.00","1.00","0.0035"
"GO:1901888","regulation of cell junction assembly",21,2,2.09,7,"0.0046","0.63","0.63","0.0046"
"GO:0006903","vesicle targeting",12,1,1.19,8,"0.0047","0.72","0.72","0.0047"
"GO:0043044","ATP-dependent chromatin remodeling",11,0,1.09,9,"0.0060","1.00","1.00","0.0060"
"GO:0003084","positive regulation of systemic arterial...",3,0,0.3,10,"0.0074","1.00","1.00","0.0074"
