"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","elimFisher","classicFisher","classicKS","elimKS"
"GO:0006105","succinate metabolic process",3,3,0.3,1,"0.00097","0.00097","0.99","0.99"
"GO:0006690","icosanoid metabolic process",7,4,0.7,2,"0.00263","0.00263","1.00","1.00"
"GO:0006412","translation",128,23,12.73,3,"0.00306","0.00306","0.51","0.51"
"GO:0031640","killing of cells of other organism",4,3,0.4,4,"0.00361","0.00361","1.00","1.00"
"GO:0006123","mitochondrial electron transport, cytoch...",4,3,0.4,5,"0.00361","0.00361","1.00","1.00"
"GO:0010800","positive regulation of peptidyl-threonin...",8,4,0.8,6,"0.00485","0.00485","0.71","0.71"
"GO:0043124","negative regulation of I-kappaB kinase/N...",8,4,0.8,7,"0.00485","0.00485","0.87","0.87"
"GO:0006636","unsaturated fatty acid biosynthetic proc...",8,4,0.8,8,"0.00485","0.00485","1.00","1.00"
"GO:0006099","tricarboxylic acid cycle",13,5,1.29,9,"0.00618","0.00618","0.83","0.83"
"GO:0009617","response to bacterium",61,15,6.07,10,"0.00697","0.00065","0.99","0.99"
