"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","elimFisher","classicKS","elimKS"
"GO:0016999","antibiotic metabolic process",31,10,3.08,1,"0.00054","0.36524","0.59","0.59"
"GO:0009617","response to bacterium",61,15,6.07,2,"0.00065","0.00697","0.99","0.99"
"GO:0006105","succinate metabolic process",3,3,0.3,3,"0.00097","0.00097","0.99","0.99"
"GO:0035733","hepatic stellate cell activation",3,3,0.3,4,"0.00097","0.09882","1.00","1.00"
"GO:0072537","fibroblast activation",3,3,0.3,5,"0.00097","0.09882","1.00","1.00"
"GO:0009987","cellular process",2336,250,232.35,6,"0.00120","0.07820","0.76","0.86"
"GO:0006518","peptide metabolic process",157,28,15.62,7,"0.00124","0.13725","0.79","0.79"
"GO:0009060","aerobic respiration",24,8,2.39,8,"0.00154","1.00000","0.97","0.97"
"GO:0043603","cellular amide metabolic process",193,32,19.2,9,"0.00200","0.39030","0.83","0.83"
"GO:0017144","drug metabolic process",139,25,13.83,10,"0.00200","0.23129","0.82","0.82"
