"GO.ID","Term","Annotated","Significant","Expected","Rank in classicKS","classicKS","classicFisher","elimFisher","elimKS"
"GO:0005886","plasma membrane",796,70,79.1,1,"5.9e-05","0.91","0.91","0.00086"
"GO:0071944","cell periphery",821,73,81.58,2,"7.2e-05","0.90","0.90","0.64160"
"GO:0030286","dynein complex",12,0,1.19,3,"0.00082","1.00","1.00","0.20588"
"GO:0005868","cytoplasmic dynein complex",10,0,0.99,4,"0.00126","1.00","1.00","0.00126"
"GO:0060170","ciliary membrane",9,0,0.89,5,"0.00211","1.00","1.00","0.00211"
"GO:0099240","intrinsic component of synaptic membrane",65,2,6.46,6,"0.00333","0.99","0.99","0.24521"
"GO:0031226","intrinsic component of plasma membrane",245,18,24.34,7,"0.00401","0.94","0.94","0.07717"
"GO:0005887","integral component of plasma membrane",238,17,23.65,8,"0.00410","0.95","0.95","0.06063"
"GO:0098936","intrinsic component of postsynaptic memb...",49,2,4.87,9,"0.00436","0.96","0.96","0.30554"
"GO:0099699","integral component of synaptic membrane",63,2,6.26,10,"0.00528","0.99","0.99","0.42863"
