"GO.ID","Term","Annotated","Significant","Expected","Rank in elimKS","elimKS","classicFisher","elimFisher","classicKS"
"GO:0005886","plasma membrane",796,70,79.1,1,"0.00086","0.91","0.91","5.9e-05"
"GO:0005868","cytoplasmic dynein complex",10,0,0.99,2,"0.00126","1.00","1.00","0.0013"
"GO:0060170","ciliary membrane",9,0,0.89,3,"0.00211","1.00","1.00","0.0021"
"GO:0033178","proton-transporting two-sector ATPase co...",9,1,0.89,4,"0.00609","0.61","0.61","0.0061"
"GO:0045121","membrane raft",81,7,8.05,5,"0.00695","0.71","0.71","0.0070"
"GO:0099055","integral component of postsynaptic membr...",47,2,4.67,6,"0.00714","0.96","0.96","0.0071"
"GO:0098688","parallel fiber to Purkinje cell synapse",8,0,0.79,7,"0.00809","1.00","1.00","0.0081"
"GO:0070161","anchoring junction",52,5,5.17,8,"0.00918","0.60","0.60","0.0092"
"GO:0016235","aggresome",9,1,0.89,9,"0.01140","0.61","0.61","0.0114"
"GO:0034702","ion channel complex",71,6,7.05,10,"0.01154","0.72","0.72","0.0115"
