"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","elimFisher","classicFisher","classicKS","elimKS"
"GO:0043209","myelin sheath",79,20,7.85,1,"5.2e-05","5.2e-05","0.36","0.36"
"GO:0022627","cytosolic small ribosomal subunit",21,9,2.09,2,"8.3e-05","8.3e-05","0.88","0.88"
"GO:0005833","hemoglobin complex",4,4,0.4,3,"9.6e-05","9.6e-05","1.00","1.00"
"GO:0031838","haptoglobin-hemoglobin complex",4,4,0.4,4,"9.6e-05","9.6e-05","1.00","1.00"
"GO:0005746","mitochondrial respiratory chain",23,8,2.29,5,"0.0011","0.0011","0.93","0.93"
"GO:0044666","MLL3/4 complex",4,3,0.4,6,"0.0036","0.0036","0.99","0.99"
"GO:0097208","alveolar lamellar body",4,3,0.4,7,"0.0036","0.0036","1.00","1.00"
"GO:0045277","respiratory chain complex IV",4,3,0.4,8,"0.0036","0.0036","1.00","1.00"
"GO:0022625","cytosolic large ribosomal subunit",18,6,1.79,9,"0.0060","0.0060","0.71","0.71"
"GO:0005759","mitochondrial matrix",48,11,4.77,10,"0.0060","0.0060","0.84","0.84"
