"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","elimFisher","classicKS","elimKS"
"GO:0044391","ribosomal subunit",53,18,5.27,1,"1.4e-06","0.166","0.66","0.66"
"GO:0022626","cytosolic ribosome",39,15,3.88,2,"1.8e-06","1.000","0.84","0.84"
"GO:0005840","ribosome",60,19,5.96,3,"2.3e-06","0.151","0.58","0.58"
"GO:0032991","protein-containing complex",1039,138,103.24,4,"5.5e-06","0.012","0.46","0.59"
"GO:0044445","cytosolic part",66,19,6.56,5,"1.1e-05","0.721","0.47","0.47"
"GO:0070469","respiratory chain",27,11,2.68,6,"2.3e-05","0.097","0.97","0.97"
"GO:0043209","myelin sheath",79,20,7.85,7,"5.2e-05","5.2e-05","0.36","0.36"
"GO:0022627","cytosolic small ribosomal subunit",21,9,2.09,8,"8.3e-05","8.3e-05","0.88","0.88"
"GO:0005833","hemoglobin complex",4,4,0.4,9,"9.6e-05","9.6e-05","1.00","1.00"
"GO:0031838","haptoglobin-hemoglobin complex",4,4,0.4,10,"9.6e-05","9.6e-05","1.00","1.00"
