"GO.ID","Term","Annotated","Significant","Expected","Rank in classicKS","classicKS","classicFisher","elimFisher","elimKS"
"GO:0005215","transporter activity",211,23,20.9,1,"0.00072","0.34","0.78","0.0334"
"GO:0008324","cation transmembrane transporter activit...",129,15,12.78,2,"0.00091","0.29","0.66","0.0572"
"GO:0022857","transmembrane transporter activity",195,20,19.32,3,"0.00098","0.47","0.77","0.0568"
"GO:0045499","chemorepellent activity",4,0,0.4,4,"0.00117","1.00","1.00","0.0012"
"GO:0015075","ion transmembrane transporter activity",167,18,16.54,5,"0.00121","0.39","0.72","0.0844"
"GO:0015318","inorganic molecular entity transmembrane...",158,17,15.65,6,"0.00249","0.40","0.73","0.0425"
"GO:0022890","inorganic cation transmembrane transport...",119,13,11.79,7,"0.00335","0.40","0.78","0.0371"
"GO:0015298","solute:cation antiporter activity",4,0,0.4,8,"0.00433","1.00","1.00","1.0000"
"GO:0015491","cation:cation antiporter activity",4,0,0.4,9,"0.00433","1.00","1.00","0.0043"
"GO:0045296","cadherin binding",7,0,0.69,10,"0.00487","1.00","1.00","0.0049"
