"GO.ID","Term","Annotated","Significant","Expected","Rank in elimKS","elimKS","classicFisher","elimFisher","classicKS"
"GO:0045499","chemorepellent activity",4,0,0.4,1,"0.0012","1.00","1.00","0.0012"
"GO:0015491","cation:cation antiporter activity",4,0,0.4,2,"0.0043","1.00","1.00","0.0043"
"GO:0045296","cadherin binding",7,0,0.69,3,"0.0049","1.00","1.00","0.0049"
"GO:0043130","ubiquitin binding",17,1,1.68,4,"0.0051","0.83","0.83","0.0051"
"GO:0099094","ligand-gated cation channel activity",19,0,1.88,5,"0.0054","1.00","1.00","0.0054"
"GO:0031210","phosphatidylcholine binding",9,0,0.89,6,"0.0063","1.00","1.00","0.0063"
"GO:0030215","semaphorin receptor binding",3,0,0.3,7,"0.0063","1.00","1.00","0.0063"
"GO:0005249","voltage-gated potassium channel activity",19,0,1.88,8,"0.0094","1.00","1.00","0.0094"
"GO:0004930","G protein-coupled receptor activity",46,0,4.56,9,"0.0102","1.00","1.00","0.0102"
"GO:0032813","tumor necrosis factor receptor superfami...",6,0,0.59,10,"0.0107","1.00","1.00","0.0107"
