"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","elimFisher","classicFisher","classicKS","elimKS"
"GO:0003735","structural constituent of ribosome",43,14,4.26,1,"3.5e-05","3.5e-05","0.61","0.61"
"GO:0019825","oxygen binding",6,5,0.59,2,"5.1e-05","5.1e-05","1.00","1.00"
"GO:0031720","haptoglobin binding",4,4,0.4,3,"9.4e-05","9.4e-05","1.00","1.00"
"GO:0005344","oxygen carrier activity",4,4,0.4,4,"9.4e-05","9.4e-05","1.00","1.00"
"GO:0004601","peroxidase activity",8,5,0.79,5,"0.0004","0.0004","0.93","0.93"
"GO:0031625","ubiquitin protein ligase binding",69,15,6.84,6,"0.0024","0.0024","0.22","0.22"
"GO:0019843","rRNA binding",11,5,1.09,7,"0.0026","0.0026","0.83","0.83"
"GO:0004129","cytochrome-c oxidase activity",7,4,0.69,8,"0.0026","0.0026","0.99","0.99"
"GO:0001221","transcription cofactor binding",16,6,1.59,9,"0.0030","0.0030","0.97","0.97"
"GO:0020037","heme binding",16,6,1.59,10,"0.0030","0.0030","1.00","1.00"
