"GO.ID","Term","Annotated","Significant","Expected","Rank in elimKS","elimKS","classicFisher","elimFisher","classicKS"
"GO:0035176","social behavior",27,1,3.29,1,"0.00014","0.97","0.97","0.00014"
"GO:0006883","cellular sodium ion homeostasis",8,0,0.98,2,"0.00014","1.00","1.00","0.00014"
"GO:0051220","cytoplasmic sequestering of protein",8,0,0.98,3,"0.00030","1.00","1.00","0.00030"
"GO:0030007","cellular potassium ion homeostasis",7,0,0.85,4,"0.00042","1.00","1.00","0.00042"
"GO:0022618","ribonucleoprotein complex assembly",97,7,11.83,5,"0.00056","0.96","0.96","0.00056"
"GO:0070925","organelle assembly",296,23,36.11,6,"0.00072","1.00","1.00","0.00072"
"GO:0006897","endocytosis",261,36,31.84,7,"0.00074","0.24","0.24","0.00074"
"GO:1900273","positive regulation of long-term synapti...",15,1,1.83,8,"0.00077","0.86","0.86","0.00077"
"GO:0014002","astrocyte development",12,1,1.46,9,"0.00080","0.79","0.79","0.00080"
"GO:0043279","response to alkaloid",31,4,3.78,10,"0.00086","0.53","0.53","0.00086"
