"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","elimFisher","classicFisher","classicKS","elimKS"
"GO:0007608","sensory perception of smell",121,49,14.76,1,"1.5e-15","1.5e-15","0.60","0.60"
"GO:0007186","G protein-coupled receptor signaling pat...",344,92,41.97,2,"2.5e-14","2.5e-14","0.97","0.97"
"GO:0019236","response to pheromone",22,11,2.68,3,"1.6e-05","1.6e-05","0.89","0.89"
"GO:0099509","regulation of presynaptic cytosolic calc...",5,5,0.61,4,"2.7e-05","2.7e-05","1.00","1.00"
"GO:0071277","cellular response to calcium ion",38,13,4.64,5,"0.00035","0.00035","0.12","0.12"
"GO:0021537","telencephalon development",106,28,12.93,6,"0.00076","4.5e-05","1.00","1.00"
"GO:0007631","feeding behavior",32,11,3.9,7,"0.00094","0.00094","0.62","0.62"
"GO:0003008","system process",681,146,83.08,8,"0.00175","2.2e-13","0.18","0.85"
"GO:0007379","segment specification",3,3,0.37,9,"0.00181","0.00181","1.00","1.00"
"GO:0060405","regulation of penile erection",3,3,0.37,10,"0.00181","0.00181","0.99","0.99"
