"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","elimFisher","classicKS","elimKS"
"GO:0007606","sensory perception of chemical stimulus",128,52,15.62,1,"1.7e-16","0.03795","0.59","0.59"
"GO:0007608","sensory perception of smell",121,49,14.76,2,"1.5e-15","1.5e-15","0.60","0.60"
"GO:0007186","G protein-coupled receptor signaling pat...",344,92,41.97,3,"2.5e-14","2.5e-14","0.97","0.97"
"GO:0003008","system process",681,146,83.08,4,"2.2e-13","0.00175","0.18","0.85"
"GO:0007600","sensory perception",267,70,32.57,5,"1.1e-10","0.17343","0.88","0.88"
"GO:0050877","nervous system process",505,109,61.61,6,"3.0e-10","0.00837","0.50","0.96"
"GO:0032501","multicellular organismal process",2334,348,284.73,7,"1.7e-07","0.33427","0.86","1.00"
"GO:0019236","response to pheromone",22,11,2.68,8,"1.6e-05","1.6e-05","0.89","0.89"
"GO:0099509","regulation of presynaptic cytosolic calc...",5,5,0.61,9,"2.7e-05","2.7e-05","1.00","1.00"
"GO:0021537","telencephalon development",106,28,12.93,10,"4.5e-05","0.00076","1.00","1.00"
