"GO.ID","Term","Annotated","Significant","Expected","Rank in classicKS","classicKS","classicFisher","elimFisher","elimKS"
"GO:0005622","intracellular",4663,515,583.07,1,"3.1e-12","1.000","1.00","0.1936"
"GO:0044424","intracellular part",4663,515,583.07,2,"3.1e-12","1.000","1.00","0.1936"
"GO:0005737","cytoplasm",3843,431,480.54,3,"8.7e-10","1.000","1.00","0.0057"
"GO:0044444","cytoplasmic part",3052,319,381.63,4,"8.1e-09","1.000","1.00","0.0094"
"GO:0043226","organelle",4274,471,534.43,5,"9.7e-08","1.000","1.00","0.2289"
"GO:0043229","intracellular organelle",4167,453,521.05,6,"1.3e-07","1.000","1.00","0.1384"
"GO:0045202","synapse",748,111,93.53,7,"1.9e-07","0.024","0.61","0.1843"
"GO:0098590","plasma membrane region",507,64,63.4,8,"2.5e-07","0.488","0.49","0.0022"
"GO:0043227","membrane-bounded organelle",3836,414,479.66,9,"3.7e-07","1.000","1.00","0.1833"
"GO:0044422","organelle part",2802,286,350.37,10,"4.8e-07","1.000","1.00","0.1876"
