"GO.ID","Term","Annotated","Significant","Expected","Rank in elimKS","elimKS","classicFisher","elimFisher","classicKS"
"GO:0098978","glutamatergic synapse",312,52,39.01,1,"1.9e-06","0.0165","0.0165","1.9e-06"
"GO:0043209","myelin sheath",132,11,16.51,2,"8.2e-06","0.9516","0.9516","8.2e-06"
"GO:0032991","protein-containing complex",2010,213,251.34,3,"9.0e-05","0.9995","0.9995","1.1e-06"
"GO:0044446","intracellular organelle part",2669,267,333.74,4,"0.00013","1.0000","1.0000","1.3e-06"
"GO:0005829","cytosol",1295,134,161.93,5,"0.00023","0.9970","0.9970","5.1e-05"
"GO:0014069","postsynaptic density",241,30,30.14,6,"0.00028","0.5413","0.5413","0.00028"
"GO:0005794","Golgi apparatus",557,58,69.65,7,"0.00029","0.9517","0.9517","0.00029"
"GO:0098793","presynapse",290,52,36.26,8,"0.00089","0.0039","0.0039","0.00089"
"GO:0005747","mitochondrial respiratory chain complex ...",27,1,3.38,9,"0.00109","0.9731","0.9731","0.00109"
"GO:0035068","micro-ribonucleoprotein complex",6,0,0.75,10,"0.00137","1.0000","1.0000","0.00137"
