"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","elimFisher","classicFisher","classicKS","elimKS"
"GO:0016021","integral component of membrane",1573,254,196.69,1,"1.6e-05","3.6e-07","0.44428","0.48013"
"GO:0005886","plasma membrane",1649,260,206.2,2,"8.5e-05","2.2e-06","0.02156","0.59208"
"GO:0098793","presynapse",290,52,36.26,3,"0.0039","0.0039","0.00089","0.00089"
"GO:0005887","integral component of plasma membrane",505,83,63.15,4,"0.0041","0.0041","0.16543","0.25870"
"GO:0043197","dendritic spine",117,25,14.63,5,"0.0045","0.0045","0.41453","0.41453"
"GO:0032420","stereocilium",14,6,1.75,6,"0.0046","0.0046","0.99228","0.99228"
"GO:0005902","microvillus",28,9,3.5,7,"0.0054","0.0054","0.99351","0.99351"
"GO:0005615","extracellular space",302,53,37.76,8,"0.0057","0.0057","0.99584","0.99584"
"GO:0098982","GABA-ergic synapse",53,13,6.63,9,"0.0116","0.0116","0.22049","0.22049"
"GO:0030424","axon",370,61,46.27,10,"0.0124","0.0124","0.00130","0.01587"
