"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","elimFisher","classicKS","elimKS"
"GO:0031224","intrinsic component of membrane",1629,265,203.69,1,"7.8e-08","0.042","0.378","0.410"
"GO:0016021","integral component of membrane",1573,254,196.69,2,"3.6e-07","1.6e-05","0.444","0.480"
"GO:0071944","cell periphery",1708,269,213.57,3,"1.4e-06","0.212","0.034","0.624"
"GO:0005886","plasma membrane",1649,260,206.2,4,"2.2e-06","8.5e-05","0.022","0.592"
"GO:0016020","membrane",2854,413,356.87,5,"5.5e-06","0.904","0.013","0.648"
"GO:0044425","membrane part",2151,322,268.97,6,"1.0e-05","0.334","0.013","0.530"
"GO:0098858","actin-based cell projection",83,21,10.38,7,"0.0010","0.395","0.797","0.797"
"GO:0098862","cluster of actin-based cell projections",48,14,6,8,"0.0016","0.053","0.979","0.979"
"GO:0030425","dendrite",371,65,46.39,9,"0.0024","0.058","0.016","0.016"
"GO:0097447","dendritic tree",372,65,46.52,10,"0.0025","0.061","0.018","0.018"
