"GO.ID","Term","Annotated","Significant","Expected","Rank in classicKS","classicKS","classicFisher","elimFisher","elimKS"
"GO:0003723","RNA binding",425,40,52.84,1,"4.7e-06","0.98","0.98","0.01760"
"GO:0003725","double-stranded RNA binding",43,3,5.35,2,"2.0e-05","0.92","0.92","2e-05"
"GO:0097159","organic cyclic compound binding",1798,186,223.54,3,"6.6e-05","1.00","1.00","0.00052"
"GO:1901363","heterocyclic compound binding",1773,183,220.43,4,"8.2e-05","1.00","1.00","0.00064"
"GO:0003729","mRNA binding",122,17,15.17,5,"0.00011","0.35","0.35","0.00011"
"GO:0044877","protein-containing complex binding",510,65,63.41,6,"0.00042","0.43","0.43","0.00351"
"GO:0003676","nucleic acid binding",1069,107,132.9,7,"0.00052","1.00","1.00","0.03936"
"GO:0019899","enzyme binding",1008,131,125.32,8,"0.00082","0.29","0.29","0.03724"
"GO:0004386","helicase activity",49,4,6.09,9,"0.00159","0.87","0.87","0.00159"
"GO:0005515","protein binding",3153,395,392,10,"0.00188","0.42","0.67","0.02558"
