"GO.ID","Term","Annotated","Significant","Expected","Rank in elimKS","elimKS","classicFisher","elimFisher","classicKS"
"GO:0003725","double-stranded RNA binding",43,3,5.35,1,"2e-05","0.92","0.92","2.0e-05"
"GO:0003729","mRNA binding",122,17,15.17,2,"0.00011","0.35","0.35","0.00011"
"GO:0097159","organic cyclic compound binding",1798,186,223.54,3,"0.00052","1.00","1.00","6.6e-05"
"GO:1901363","heterocyclic compound binding",1773,183,220.43,4,"0.00064","1.00","1.00","8.2e-05"
"GO:0004386","helicase activity",49,4,6.09,5,"0.00159","0.87","0.87","0.00159"
"GO:0098918","structural constituent of synapse",18,1,2.24,6,"0.00210","0.91","0.91","0.00210"
"GO:0043021","ribonucleoprotein complex binding",71,4,8.83,7,"0.00321","0.98","0.98","0.00321"
"GO:0044877","protein-containing complex binding",510,65,63.41,8,"0.00351","0.43","0.43","0.00042"
"GO:0046527","glucosyltransferase activity",7,0,0.87,9,"0.00358","1.00","1.00","0.00358"
"GO:0005262","calcium channel activity",46,5,5.72,10,"0.00364","0.69","0.69","0.00364"
