"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","elimFisher","classicFisher","classicKS","elimKS"
"GO:0004984","olfactory receptor activity",118,50,14.67,1,"1.8e-16","1.8e-16","0.616","0.616"
"GO:0005550","pheromone binding",32,19,3.98,2,"3.6e-10","3.6e-10","0.842","0.842"
"GO:0004930","G protein-coupled receptor activity",139,48,17.28,3,"8.9e-07","7.0e-12","0.961","0.961"
"GO:0016503","pheromone receptor activity",21,11,2.61,4,"1.1e-05","1.1e-05","0.893","0.893"
"GO:0005549","odorant binding",59,31,7.34,5,"2.9e-05","8.4e-14","0.727","0.727"
"GO:0048495","Roundabout binding",8,5,0.99,6,"0.0012","0.0012","0.978","0.978"
"GO:0005516","calmodulin binding",81,20,10.07,7,"0.0017","0.0017","0.037","0.037"
"GO:0015929","hexosaminidase activity",3,3,0.37,8,"0.0019","0.0019","0.993","0.993"
"GO:0003785","actin monomer binding",6,4,0.75,9,"0.0029","0.0029","0.990","0.990"
"GO:0005539","glycosaminoglycan binding",68,17,8.45,10,"0.0032","0.0032","0.727","0.727"
