"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","elimFisher","classicKS","elimKS"
"GO:0038023","signaling receptor activity",405,121,50.35,1,"1.7e-22","0.0203","0.983","0.983"
"GO:0060089","molecular transducer activity",431,124,53.58,2,"1.8e-21","0.0270","0.970","0.970"
"GO:0004888","transmembrane signaling receptor activit...",355,105,44.14,3,"3.8e-19","0.7394","0.916","0.916"
"GO:0004984","olfactory receptor activity",118,50,14.67,4,"1.8e-16","1.8e-16","0.616","0.616"
"GO:0005549","odorant binding",59,31,7.34,5,"8.4e-14","2.9e-05","0.727","0.727"
"GO:0004930","G protein-coupled receptor activity",139,48,17.28,6,"7.0e-12","8.9e-07","0.961","0.961"
"GO:0005550","pheromone binding",32,19,3.98,7,"3.6e-10","3.6e-10","0.842","0.842"
"GO:0016503","pheromone receptor activity",21,11,2.61,8,"1.1e-05","1.1e-05","0.893","0.893"
"GO:0048495","Roundabout binding",8,5,0.99,9,"0.0012","0.0012","0.978","0.978"
"GO:0005516","calmodulin binding",81,20,10.07,10,"0.0017","0.0017","0.037","0.037"
