"GO.ID","Term","Annotated","Significant","Expected","Rank in classicKS","classicKS","classicFisher","elimFisher","elimKS"
"GO:0017144","drug metabolic process",153,5,15.55,1,"5.5e-06","1.00","1.00","0.00597"
"GO:0006810","transport",1087,93,110.48,2,"1.8e-05","0.98","0.99","0.20985"
"GO:0051234","establishment of localization",1123,96,114.14,3,"1.8e-05","0.99","0.99","0.16613"
"GO:0008104","protein localization",716,67,72.77,4,"2.0e-05","0.80","0.80","0.16318"
"GO:0033036","macromolecule localization",784,71,79.68,5,"2.6e-05","0.89","0.89","0.11513"
"GO:0046034","ATP metabolic process",71,0,7.22,6,"2.8e-05","1.00","1.00","0.00064"
"GO:0055114","oxidation-reduction process",180,8,18.29,7,"3.5e-05","1.00","1.00","0.00096"
"GO:0051641","cellular localization",785,70,79.78,8,"3.5e-05","0.91","0.97","0.35782"
"GO:0051179","localization",1452,135,147.57,9,"4.7e-05","0.92","0.96","0.31659"
"GO:0007267","cell-cell signaling",423,46,42.99,10,"4.8e-05","0.33","0.33","0.05387"
