"GO.ID","Term","Annotated","Significant","Expected","Rank in elimKS","elimKS","classicFisher","elimFisher","classicKS"
"GO:0035176","social behavior",18,1,1.83,1,"0.00017","0.86","0.86","0.00017"
"GO:0009593","detection of chemical stimulus",8,0,0.81,2,"0.00020","1.00","1.00","0.00020"
"GO:0007626","locomotory behavior",84,9,8.54,3,"0.00058","0.49","0.49","0.00058"
"GO:0046034","ATP metabolic process",71,0,7.22,4,"0.00064","1.00","1.00","2.8e-05"
"GO:0071495","cellular response to endogenous stimulus",286,31,29.07,5,"0.00066","0.38","0.38","0.00016"
"GO:0001909","leukocyte mediated cytotoxicity",18,1,1.83,6,"0.00066","0.86","0.86","0.00066"
"GO:0006883","cellular sodium ion homeostasis",6,0,0.61,7,"0.00073","1.00","1.00","0.00073"
"GO:0071901","negative regulation of protein serine/th...",27,2,2.74,8,"0.00082","0.78","0.78","0.00082"
"GO:0021533","cell differentiation in hindbrain",10,1,1.02,9,"0.00082","0.66","0.66","0.00082"
"GO:0055114","oxidation-reduction process",180,8,18.29,10,"0.00096","1.00","1.00","3.5e-05"
