"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","elimFisher","classicFisher","classicKS","elimKS"
"GO:0007608","sensory perception of smell",106,48,10.77,1,"2.7e-21","2.7e-21","0.99","0.99"
"GO:0007186","G protein-coupled receptor signaling pat...",275,75,27.95,2,"4.2e-17","4.2e-17","0.90","1.00"
"GO:0019236","response to pheromone",19,11,1.93,3,"3.7e-07","3.7e-07","1.00","1.00"
"GO:0043303","mast cell degranulation",10,5,1.02,4,"0.0017","0.0017","0.90","0.90"
"GO:0003008","system process",479,101,48.68,5,"0.0020","1.6e-14","0.52","0.77"
"GO:0001843","neural tube closure",28,8,2.85,6,"0.0053","0.0053","0.67","0.67"
"GO:0048512","circadian behavior",9,4,0.91,7,"0.0087","0.0087","0.99","0.99"
"GO:0061052","negative regulation of cell growth invol...",5,3,0.51,8,"0.0089","0.0089","0.97","0.97"
"GO:0050857","positive regulation of antigen receptor-...",5,3,0.51,9,"0.0089","0.0089","0.41","0.41"
"GO:0006275","regulation of DNA replication",25,7,2.54,10,"0.0101","0.0101","0.96","0.96"
