"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","elimFisher","classicKS","elimKS"
"GO:0007606","sensory perception of chemical stimulus",112,51,11.38,1,"1.0e-22","0.013","0.990","0.99"
"GO:0007608","sensory perception of smell",106,48,10.77,2,"2.7e-21","2.7e-21","0.989","0.99"
"GO:0007186","G protein-coupled receptor signaling pat...",275,75,27.95,3,"4.2e-17","4.2e-17","0.901","1.00"
"GO:0007600","sensory perception",206,60,20.94,4,"3.5e-15","0.205","0.958","0.96"
"GO:0003008","system process",479,101,48.68,5,"1.6e-14","0.002","0.515","0.77"
"GO:0050877","nervous system process",366,82,37.2,6,"2.9e-13","0.020","0.661","0.96"
"GO:0019236","response to pheromone",19,11,1.93,7,"3.7e-07","3.7e-07","1.000","1.00"
"GO:0032501","multicellular organismal process",1607,205,163.33,8,"6.3e-06","0.346","0.407","0.99"
"GO:0023052","signaling",1346,174,136.8,9,"3.0e-05","0.424","0.013","0.75"
"GO:0050896","response to stimulus",1825,224,185.48,10,"3.2e-05","0.490","0.037","0.98"
