"GO.ID","Term","Annotated","Significant","Expected","Rank in classicKS","classicKS","classicFisher","elimFisher","elimKS"
"GO:0045202","synapse",531,54,56.19,1,"6.0e-14","0.65","0.65","0.01859"
"GO:0097458","neuron part",645,62,68.25,2,"4.4e-13","0.83","0.83","0.01745"
"GO:0044456","synapse part",437,47,46.24,3,"4.6e-11","0.48","0.48","0.00366"
"GO:0005622","intracellular",3156,264,333.94,4,"2.4e-09","1.00","1.00","0.09432"
"GO:0044424","intracellular part",3156,264,333.94,5,"2.4e-09","1.00","1.00","0.09432"
"GO:0098590","plasma membrane region",361,30,38.2,6,"3.5e-09","0.94","0.94","0.00209"
"GO:0098978","glutamatergic synapse",220,28,23.28,7,"3.6e-09","0.17","0.17","3.6e-09"
"GO:0005737","cytoplasm",2577,219,272.68,8,"3.9e-09","1.00","1.00","0.00092"
"GO:0043005","neuron projection",492,51,52.06,9,"1.6e-08","0.59","0.59","0.02829"
"GO:0031090","organelle membrane",464,32,49.1,10,"6.5e-08","1.00","1.00","0.01340"
