"GO.ID","Term","Annotated","Significant","Expected","Rank in elimKS","elimKS","classicFisher","elimFisher","classicKS"
"GO:0098978","glutamatergic synapse",220,28,23.28,1,"3.6e-09","0.17","0.17","3.6e-09"
"GO:0043025","neuronal cell body",238,20,25.18,2,"8.2e-06","0.89","0.89","8.2e-06"
"GO:0014069","postsynaptic density",176,19,18.62,3,"1.8e-05","0.50","0.50","1.8e-05"
"GO:0043209","myelin sheath",94,5,9.95,4,"2.7e-05","0.98","0.98","2.7e-05"
"GO:0005874","microtubule",137,5,14.5,5,"0.00014","1.00","1.00","0.00014"
"GO:0005768","endosome",225,12,23.81,6,"0.00023","1.00","1.00","0.00023"
"GO:0043231","intracellular membrane-bounded organelle",2428,194,256.91,7,"0.00039","1.00","1.00","3.9e-05"
"GO:0030425","dendrite",271,31,28.68,8,"0.00040","0.35","0.35","0.00040"
"GO:0005747","mitochondrial respiratory chain complex ...",18,0,1.9,9,"0.00041","1.00","1.00","0.00041"
"GO:0098588","bounding membrane of organelle",288,29,30.47,10,"0.00044","0.65","0.65","0.00044"
