"GO.ID","Term","Annotated","Significant","Expected","Rank in classicKS","classicKS","classicFisher","elimFisher","elimKS"
"GO:0005515","protein binding",2175,202,229.56,1,"3.5e-05","1.00","1.00","0.05571"
"GO:0003954","NADH dehydrogenase activity",13,0,1.37,2,"9.1e-05","1.00","1.00","0.04559"
"GO:0005543","phospholipid binding",114,11,12.03,3,"0.00011","0.67","0.67","0.00011"
"GO:0044877","protein-containing complex binding",355,33,37.47,4,"0.00018","0.81","0.81","0.00018"
"GO:0043168","anion binding",686,60,72.4,5,"0.00041","0.96","0.96","0.00808"
"GO:0008137","NADH dehydrogenase (ubiquinone) activity",11,0,1.16,6,"0.00055","1.00","1.00","0.00055"
"GO:0050136","NADH dehydrogenase (quinone) activity",11,0,1.16,7,"0.00055","1.00","1.00","1.00000"
"GO:0019900","kinase binding",237,20,25.01,8,"0.00070","0.89","0.89","0.06027"
"GO:0016651","oxidoreductase activity, acting on NAD(P...",24,0,2.53,9,"0.00086","1.00","1.00","0.09887"
"GO:0015631","tubulin binding",115,8,12.14,10,"0.00157","0.93","0.93","0.00640"
