"GO.ID","Term","Annotated","Significant","Expected","Rank in elimKS","elimKS","classicFisher","elimFisher","classicKS"
"GO:0005543","phospholipid binding",114,11,12.03,1,"0.00011","0.67","0.67","0.00011"
"GO:0044877","protein-containing complex binding",355,33,37.47,2,"0.00018","0.81","0.81","0.00018"
"GO:0008137","NADH dehydrogenase (ubiquinone) activity",11,0,1.16,3,"0.00055","1.00","1.00","0.00055"
"GO:0099106","ion channel regulator activity",31,2,3.27,4,"0.00184","0.85","0.85","0.00184"
"GO:0015491","cation:cation antiporter activity",7,0,0.74,5,"0.00266","1.00","1.00","0.00266"
"GO:0001664","G protein-coupled receptor binding",62,4,6.54,6,"0.00273","0.91","0.91","0.00273"
"GO:0005092","GDP-dissociation inhibitor activity",9,1,0.95,7,"0.00280","0.63","0.63","0.00280"
"GO:0019901","protein kinase binding",214,19,22.59,8,"0.00344","0.82","0.82","0.00344"
"GO:0046527","glucosyltransferase activity",6,0,0.63,9,"0.00372","1.00","1.00","0.00372"
"GO:0060590","ATPase regulator activity",10,0,1.06,10,"0.00410","1.00","1.00","0.00410"
