"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","elimFisher","classicFisher","classicKS","elimKS"
"GO:0004984","olfactory receptor activity",105,49,11.08,1,"1.1e-21","1.1e-21","0.9887","0.9887"
"GO:0005550","pheromone binding",29,19,3.06,2,"1.4e-12","1.4e-12","1.0000","1.0000"
"GO:0004930","G protein-coupled receptor activity",114,41,12.03,3,"1.0e-08","1.8e-13","0.9577","0.9577"
"GO:0016503","pheromone receptor activity",18,11,1.9,4,"2.6e-07","2.6e-07","1.0000","1.0000"
"GO:0005549","odorant binding",52,31,5.49,5,"4.9e-07","4.5e-18","1.0000","1.0000"
"GO:0098505","G-rich strand telomeric DNA binding",2,2,0.21,6,"0.011","0.011","1.0000","1.0000"
"GO:0005516","calmodulin binding",70,14,7.39,7,"0.013","0.013","0.0294","0.0294"
"GO:0010485","H4 histone acetyltransferase activity",6,3,0.63,8,"0.018","0.018","0.9745","0.9745"
"GO:0005509","calcium ion binding",138,22,14.56,9,"0.030","0.030","0.0082","0.0082"
"GO:0017128","phospholipid scramblase activity",3,2,0.32,10,"0.031","0.031","0.9984","0.9984"
