"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","elimFisher","classicKS","elimKS"
"GO:0038023","signaling receptor activity",327,99,34.51,1,"2.6e-25","0.283","0.990","0.990"
"GO:0060089","molecular transducer activity",341,101,35.99,2,"5.3e-25","0.219","0.990","0.990"
"GO:0004888","transmembrane signaling receptor activit...",292,90,30.82,3,"1.6e-23","0.972","0.987","0.987"
"GO:0004984","olfactory receptor activity",105,49,11.08,4,"1.1e-21","1.1e-21","0.989","0.989"
"GO:0005549","odorant binding",52,31,5.49,5,"4.5e-18","4.9e-07","1.000","1.000"
"GO:0004930","G protein-coupled receptor activity",114,41,12.03,6,"1.8e-13","1.0e-08","0.958","0.958"
"GO:0005550","pheromone binding",29,19,3.06,7,"1.4e-12","1.4e-12","1.000","1.000"
"GO:0016503","pheromone receptor activity",18,11,1.9,8,"2.6e-07","2.6e-07","1.000","1.000"
"GO:0098505","G-rich strand telomeric DNA binding",2,2,0.21,9,"0.011","0.011","1.000","1.000"
"GO:0005516","calmodulin binding",70,14,7.39,10,"0.013","0.013","0.029","0.029"
