"GO.ID","Term","Annotated","Significant","Expected","Rank in classicKS","classicKS","classicFisher","elimFisher","elimKS"
"GO:0051641","cellular localization",1869,384,356.34,1,"7.7e-11","0.040","0.75","0.1660"
"GO:0046907","intracellular transport",1135,229,216.4,2,"8.5e-11","0.167","0.24","0.0024"
"GO:0033036","macromolecule localization",1997,377,380.75,3,"8.3e-10","0.604","0.93","0.1761"
"GO:0051649","establishment of localization in cell",1402,294,267.3,4,"1.3e-09","0.029","0.28","0.8363"
"GO:0008104","protein localization",1811,347,345.28,5,"1.3e-09","0.466","0.89","0.3271"
"GO:0045184","establishment of protein localization",1283,247,244.62,6,"4.3e-09","0.441","0.64","0.0436"
"GO:0031175","neuron projection development",804,167,153.29,7,"9.0e-09","0.109","0.15","0.0105"
"GO:0071702","organic substance transport",1631,298,310.97,8,"9.6e-09","0.822","0.92","0.0231"
"GO:0048666","neuron development",888,179,169.31,9,"9.9e-09","0.205","0.27","0.0075"
"GO:0071705","nitrogen compound transport",1426,268,271.88,10,"1.1e-08","0.623","0.80","0.2805"
