"GO.ID","Term","Annotated","Significant","Expected","Rank in elimKS","elimKS","classicFisher","elimFisher","classicKS"
"GO:0043547","positive regulation of GTPase activity",146,22,27.84,1,"0.00024","0.91","0.91","0.00024"
"GO:0010976","positive regulation of neuron projection...",284,56,54.15,2,"0.00024","0.41","0.41","0.00024"
"GO:0006886","intracellular protein transport",672,139,128.12,3,"0.00038","0.15","0.24","1.6e-06"
"GO:0000381","regulation of alternative mRNA splicing,...",50,5,9.53,4,"0.00043","0.97","0.97","0.00043"
"GO:0006888","ER to Golgi vesicle-mediated transport",94,13,17.92,5,"0.00047","0.93","0.93","0.00047"
"GO:0035493","SNARE complex assembly",18,0,3.43,6,"0.00077","1.00","1.00","0.00077"
"GO:0098943","neurotransmitter receptor transport, pos...",9,1,1.72,7,"0.00080","0.85","0.85","0.00080"
"GO:0021510","spinal cord development",52,7,9.91,8,"0.00091","0.89","0.89","0.00091"
"GO:1902115","regulation of organelle assembly",158,25,30.12,9,"0.00092","0.88","0.88","9.6e-05"
"GO:0051028","mRNA transport",76,10,14.49,10,"0.00093","0.93","0.93","0.00093"
