"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","elimFisher","classicFisher","classicKS","elimKS"
"GO:0007608","sensory perception of smell",262,117,49.95,1,"8.3e-22","8.3e-22","0.58","0.58"
"GO:0019236","response to pheromone",43,30,8.2,2,"5.8e-13","5.8e-13","1.00","1.00"
"GO:0007186","G protein-coupled receptor signaling pat...",651,197,124.12,3,"4.8e-12","8.7e-13","0.83","0.83"
"GO:0032981","mitochondrial respiratory chain complex ...",37,26,7.05,4,"1.6e-11","1.6e-11","0.88","0.88"
"GO:0002181","cytoplasmic translation",71,35,13.54,5,"8.0e-09","8.0e-09","0.56","0.56"
"GO:0015986","ATP synthesis coupled proton transport",21,16,4,6,"2.2e-08","2.2e-08","0.98","0.98"
"GO:0006120","mitochondrial electron transport, NADH t...",19,15,3.62,7,"2.7e-08","2.7e-08","0.97","0.97"
"GO:0015991","ATP hydrolysis coupled proton transport",20,14,3.81,8,"9.8e-07","9.8e-07","0.96","0.96"
"GO:0006412","translation",418,135,79.7,9,"7.5e-06","3.3e-11","0.66","0.66"
"GO:0009060","aerobic respiration",53,26,10.1,10,"8.3e-05","7.5e-07","0.91","0.91"
