"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","elimFisher","classicKS","elimKS"
"GO:0007608","sensory perception of smell",262,117,49.95,1,"8.3e-22","8.3e-22","0.58","0.58"
"GO:0007606","sensory perception of chemical stimulus",282,123,53.77,2,"8.6e-22","0.1471","0.65","0.65"
"GO:0046034","ATP metabolic process",178,80,33.94,3,"1.8e-15","0.0134","0.85","0.94"
"GO:0042773","ATP synthesis coupled electron transport",51,35,9.72,4,"1.4e-14","0.0083","0.86","0.86"
"GO:0050877","nervous system process",874,256,166.64,5,"1.5e-14","0.1726","1.00","1.00"
"GO:0006119","oxidative phosphorylation",77,45,14.68,6,"2.0e-14","0.0154","0.95","0.95"
"GO:0042775","mitochondrial ATP synthesis coupled elec...",48,33,9.15,7,"7.6e-14","0.0401","0.84","0.84"
"GO:0009167","purine ribonucleoside monophosphate meta...",194,81,36.99,8,"1.7e-13","0.0494","0.76","0.91"
"GO:0009205","purine ribonucleoside triphosphate metab...",198,82,37.75,9,"2.1e-13","0.0464","0.75","0.84"
"GO:0009126","purine nucleoside monophosphate metaboli...",195,81,37.18,10,"2.4e-13","0.0543","0.77","0.92"
