"GO.ID","Term","Annotated","Significant","Expected","Rank in classicKS","classicKS","classicFisher","elimFisher","elimKS"
"GO:0005622","intracellular",8462,1579,1630.01,1,"4.7e-16","0.99865","1.00","1.0000"
"GO:0044424","intracellular part",8462,1579,1630.01,2,"4.7e-16","0.99865","1.00","0.0045"
"GO:0043227","membrane-bounded organelle",7008,1300,1349.93,3,"1.5e-12","0.99475","1.00","0.6585"
"GO:0043231","intracellular membrane-bounded organelle",6613,1222,1273.84,4,"7.0e-12","0.99542","1.00","0.6485"
"GO:0043226","organelle",7747,1459,1492.28,5,"2.1e-11","0.96520","1.00","0.1976"
"GO:0043229","intracellular organelle",7571,1425,1458.38,6,"7.1e-11","0.96338","1.00","0.5606"
"GO:0005623","cell",9439,1820,1818.2,7,"6.2e-10","0.46479","1.00","0.9844"
"GO:0044464","cell part",9439,1820,1818.2,8,"6.2e-10","0.46479","1.00","0.9844"
"GO:0012505","endomembrane system",2477,450,477.14,9,"7.2e-09","0.94610","0.95","0.1565"
"GO:0044444","cytoplasmic part",5431,1115,1046.16,10,"3.3e-08","0.00044","0.87","0.8280"
