"GO.ID","Term","Annotated","Significant","Expected","Rank in elimKS","elimKS","classicFisher","elimFisher","classicKS"
"GO:0048471","perinuclear region of cytoplasm",469,106,90.34,1,"5.3e-06","0.0366","0.037","5.3e-06"
"GO:0005768","endosome",595,110,114.61,2,"1.4e-05","0.7053","0.705","2.2e-07"
"GO:0031201","SNARE complex",41,3,7.9,3,"3.8e-05","0.9912","0.991","3.8e-05"
"GO:0005634","nucleus",4426,766,852.57,4,"4.8e-05","1.0000","1.000","1.6e-07"
"GO:0005829","cytosol",2269,479,437.07,5,"0.00018","0.0069","0.594","0.00018"
"GO:0030667","secretory granule membrane",46,6,8.86,6,"0.00020","0.9014","0.901","0.00020"
"GO:0005794","Golgi apparatus",975,150,187.81,7,"0.00022","0.9996","1.000","1.7e-06"
"GO:0030425","dendrite",570,138,109.8,8,"0.00032","0.0016","0.026","0.00032"
"GO:0045211","postsynaptic membrane",295,65,56.82,9,"0.00051","0.1261","0.126","0.00051"
"GO:0031234","extrinsic component of cytoplasmic side ...",56,6,10.79,10,"0.00063","0.9714","0.971","0.00063"
