"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","elimFisher","classicFisher","classicKS","elimKS"
"GO:0022625","cytosolic large ribosomal subunit",57,48,10.98,1,"4.3e-26","4.3e-26","0.980","0.980"
"GO:0005747","mitochondrial respiratory chain complex ...",43,37,8.28,2,"4.7e-21","4.7e-21","0.963","0.963"
"GO:0043209","myelin sheath",187,84,36.02,3,"2.4e-14","6.8e-16","0.770","0.770"
"GO:0022627","cytosolic small ribosomal subunit",44,26,8.48,4,"6.0e-09","6.0e-09","0.985","0.985"
"GO:0042788","polysomal ribosome",29,19,5.59,5,"6.5e-08","6.5e-08","0.992","0.992"
"GO:0014069","postsynaptic density",334,101,64.34,6,"6.8e-07","6.8e-07","0.036","0.036"
"GO:0000276","mitochondrial proton-transporting ATP sy...",11,9,2.12,7,"1.4e-05","1.4e-05","0.991","0.991"
"GO:0000275","mitochondrial proton-transporting ATP sy...",6,6,1.16,8,"5.1e-05","5.1e-05","0.904","0.904"
"GO:0043025","neuronal cell body",549,139,105.75,9,"0.00021","0.00021","0.038","0.038"
"GO:0033179","proton-transporting V-type ATPase, V0 do...",7,6,1.35,10,"0.00030","0.00030","0.984","0.984"
