"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","elimFisher","classicKS","elimKS"
"GO:0098800","inner mitochondrial membrane protein com...",105,75,20.23,1,"< 1e-30","0.0025","0.94","0.94"
"GO:0022626","cytosolic ribosome",105,74,20.23,2,"2.9e-30","0.3892","0.97","0.97"
"GO:0070469","respiratory chain",70,56,13.48,3,"5.3e-28","0.0935","0.83","0.83"
"GO:0005746","mitochondrial respiratory chain",64,52,12.33,4,"1.1e-26","0.0036","0.80","0.80"
"GO:0044391","ribosomal subunit",162,92,31.21,5,"1.6e-26","0.0112","0.95","0.95"
"GO:0022625","cytosolic large ribosomal subunit",57,48,10.98,6,"4.3e-26","4.3e-26","0.98","0.98"
"GO:0044455","mitochondrial membrane part",172,95,33.13,7,"4.3e-26","0.0776","0.93","0.93"
"GO:0098803","respiratory chain complex",65,52,12.52,8,"4.4e-26","0.0081","0.80","0.80"
"GO:0005840","ribosome",192,100,36.98,9,"9.9e-25","0.0023","0.96","0.96"
"GO:0098798","mitochondrial protein complex",203,102,39.1,10,"1.3e-23","0.0208","0.94","0.94"
