"GO.ID","Term","Annotated","Significant","Expected","Rank in classicKS","classicKS","classicFisher","elimFisher","elimKS"
"GO:0005515","protein binding",5508,1045,1056.32,1,"7.9e-12","0.720","0.941","0.00096"
"GO:0005488","binding",7749,1471,1486.1,2,"2.8e-08","0.806","0.999","0.99873"
"GO:0000149","SNARE binding",95,16,18.22,3,"1.1e-06","0.758","0.758","0.00408"
"GO:0097159","organic cyclic compound binding",3225,561,618.49,4,"1.1e-05","0.999","1.000","0.01209"
"GO:0016740","transferase activity",1471,209,282.11,5,"1.8e-05","1.000","1.000","0.00148"
"GO:1901363","heterocyclic compound binding",3180,554,609.86,6,"1.9e-05","0.999","1.000","0.02214"
"GO:0019899","enzyme binding",1634,342,313.37,7,"3.0e-05","0.028","0.043","0.00054"
"GO:0018024","histone-lysine N-methyltransferase activ...",35,3,6.71,8,"4.3e-05","0.975","0.975","0.00087"
"GO:0140110","transcription regulator activity",796,120,152.66,9,"5.9e-05","0.999","0.999","0.85737"
"GO:0003677","DNA binding",1235,178,236.85,10,"0.00011","1.000","1.000","0.00158"
