"GO.ID","Term","Annotated","Significant","Expected","Rank in elimKS","elimKS","classicFisher","elimFisher","classicKS"
"GO:0003700","DNA-binding transcription factor activit...",545,69,104.52,1,"0.00013","1.000","1.000","0.00018"
"GO:0019905","syntaxin binding",66,11,12.66,2,"0.00014","0.745","0.745","0.00014"
"GO:0005484","SNAP receptor activity",29,3,5.56,3,"0.00020","0.936","0.936","0.00020"
"GO:0046872","metal ion binding",2242,382,429.97,4,"0.00030","0.998","0.998","0.00030"
"GO:0008289","lipid binding",422,77,80.93,5,"0.00044","0.709","0.803","0.00044"
"GO:0019899","enzyme binding",1634,342,313.37,6,"0.00054","0.028","0.043","3.0e-05"
"GO:0018024","histone-lysine N-methyltransferase activ...",35,3,6.71,7,"0.00087","0.975","0.975","4.3e-05"
"GO:0005515","protein binding",5508,1045,1056.32,8,"0.00096","0.720","0.941","7.9e-12"
"GO:0003712","transcription coregulator activity",323,54,61.94,9,"0.00101","0.889","0.889","0.00101"
"GO:0035257","nuclear hormone receptor binding",110,18,21.1,10,"0.00114","0.808","0.808","0.00114"
