"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","elimFisher","classicFisher","classicKS","elimKS"
"GO:0003735","structural constituent of ribosome",130,80,24.93,1,"1.4e-26","1.4e-26","0.97","0.97"
"GO:0004984","olfactory receptor activity",259,121,49.67,2,"2.1e-24","2.1e-24","0.66","0.66"
"GO:0005550","pheromone binding",57,40,10.93,3,"6.6e-17","6.6e-17","1.00","1.00"
"GO:0016503","pheromone receptor activity",40,29,7.67,4,"3.4e-13","3.4e-13","1.00","1.00"
"GO:0008137","NADH dehydrogenase (ubiquinone) activity",23,18,4.41,5,"1.4e-09","1.4e-09","0.92","0.92"
"GO:0046933","proton-transporting ATP synthase activit...",15,13,2.88,6,"3.3e-08","3.3e-08","0.99","0.99"
"GO:0046961","proton-transporting ATPase activity, rot...",16,13,3.07,7,"1.4e-07","1.4e-07","0.96","0.96"
"GO:0005549","odorant binding",121,70,23.21,8,"3.1e-07","3.2e-21","1.00","1.00"
"GO:0004129","cytochrome-c oxidase activity",15,11,2.88,9,"8.0e-06","8.0e-06","0.94","0.94"
"GO:0008121","ubiquinol-cytochrome-c reductase activit...",7,7,1.34,10,"9.5e-06","9.5e-06","0.97","0.97"
