"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","elimFisher","classicKS","elimKS"
"GO:0003735","structural constituent of ribosome",130,80,24.93,1,"1.4e-26","1.4e-26","0.97","0.97"
"GO:0004984","olfactory receptor activity",259,121,49.67,2,"2.1e-24","2.1e-24","0.66","0.66"
"GO:0005549","odorant binding",121,70,23.21,3,"3.2e-21","3.1e-07","1.00","1.00"
"GO:0004888","transmembrane signaling receptor activit...",724,241,138.85,4,"6.4e-21","0.052","0.81","0.82"
"GO:0038023","signaling receptor activity",811,262,155.53,5,"1.1e-20","0.019","0.89","0.90"
"GO:0060089","molecular transducer activity",847,265,162.44,6,"9.0e-19","0.054","0.78","0.80"
"GO:0005550","pheromone binding",57,40,10.93,7,"6.6e-17","6.6e-17","1.00","1.00"
"GO:0005198","structural molecule activity",359,129,68.85,8,"2.6e-14","0.424","0.95","0.95"
"GO:0044769","ATPase activity, coupled to transmembran...",29,24,5.56,9,"2.4e-13","1.000","0.98","0.98"
"GO:0016503","pheromone receptor activity",40,29,7.67,10,"3.4e-13","3.4e-13","1.00","1.00"
