"GO.ID","Term","Annotated","Significant","Expected","Rank in classicKS","classicKS","classicFisher","elimFisher","elimKS"
"GO:0051402","neuron apoptotic process",163,28,25.86,1,"0.00014","0.35","0.35","0.06870"
"GO:0070997","neuron death",224,38,35.54,2,"0.00055","0.35","0.35","0.09687"
"GO:0036445","neuronal stem cell division",9,0,1.43,3,"0.00055","1.00","1.00","1.00000"
"GO:0055057","neuroblast division",9,0,1.43,4,"0.00055","1.00","1.00","0.00055"
"GO:0031960","response to corticosteroid",38,5,6.03,5,"0.00068","0.74","0.74","1.00000"
"GO:0051384","response to glucocorticoid",38,5,6.03,6,"0.00068","0.74","0.74","0.00068"
"GO:0039694","viral RNA genome replication",20,1,3.17,7,"0.00072","0.97","0.97","0.00072"
"GO:1901215","negative regulation of neuron death",132,21,20.94,8,"0.00087","0.53","0.53","0.26596"
"GO:1904375","regulation of protein localization to ce...",83,15,13.17,9,"0.00102","0.33","0.33","0.81870"
"GO:0043523","regulation of neuron apoptotic process",147,25,23.32,10,"0.00110","0.39","0.39","0.33602"
