"GO.ID","Term","Annotated","Significant","Expected","Rank in elimKS","elimKS","classicFisher","elimFisher","classicKS"
"GO:0055057","neuroblast division",9,0,1.43,1,"0.00055","1.000","1.000","0.00055"
"GO:0051384","response to glucocorticoid",38,5,6.03,2,"0.00068","0.743","0.743","0.00068"
"GO:0039694","viral RNA genome replication",20,1,3.17,3,"0.00072","0.969","0.969","0.00072"
"GO:0043524","negative regulation of neuron apoptotic ...",100,18,15.87,4,"0.00113","0.318","0.318","0.00113"
"GO:0043473","pigmentation",47,8,7.46,5,"0.00170","0.475","0.475","0.00170"
"GO:0008037","cell recognition",56,12,8.89,6,"0.00178","0.167","0.167","0.00178"
"GO:0016358","dendrite development",201,40,31.89,7,"0.00259","0.071","0.071","0.00259"
"GO:0000075","cell cycle checkpoint",73,6,11.58,8,"0.00289","0.982","0.982","0.00289"
"GO:0006974","cellular response to DNA damage stimulus",358,31,56.8,9,"0.00319","1.000","1.000","0.00319"
"GO:0071875","adrenergic receptor signaling pathway",13,2,2.06,10,"0.00335","0.635","0.635","0.00335"
