"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","elimFisher","classicFisher","classicKS","elimKS"
"GO:0071277","cellular response to calcium ion",55,25,8.73,1,"2.0e-07","2.0e-07","0.97","0.97"
"GO:0007631","feeding behavior",55,21,8.73,2,"5.0e-05","5.0e-05","1.00","1.00"
"GO:0032228","regulation of synaptic transmission, GAB...",23,12,3.65,3,"5.9e-05","5.9e-05","1.00","1.00"
"GO:0001662","behavioral fear response",32,14,5.08,4,"0.00017","0.00017","0.61","0.61"
"GO:0035690","cellular response to drug",173,46,27.45,5,"0.00018","0.00018","0.79","0.79"
"GO:0001956","positive regulation of neurotransmitter ...",17,9,2.7,6,"0.00045","0.00045","1.00","1.00"
"GO:0002181","cytoplasmic translation",59,20,9.36,7,"0.00049","0.00049","0.48","0.93"
"GO:0007268","chemical synaptic transmission",436,121,69.18,8,"0.00050","6.1e-11","0.17","0.26"
"GO:1905165","regulation of lysosomal protein cataboli...",6,5,0.95,9,"0.00052","0.00052","0.96","0.96"
"GO:0015990","electron transport coupled proton transp...",4,4,0.63,10,"0.00063","0.00063","1.00","1.00"
