"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","elimFisher","classicKS","elimKS"
"GO:0099537","trans-synaptic signaling",443,123,70.29,1,"4.0e-11","0.2883","0.176","0.27"
"GO:0007268","chemical synaptic transmission",436,121,69.18,2,"6.1e-11","0.0005","0.168","0.26"
"GO:0098916","anterograde trans-synaptic signaling",436,121,69.18,3,"6.1e-11","1.0000","0.168","0.26"
"GO:0099536","synaptic signaling",451,124,71.56,4,"6.7e-11","0.4035","0.111","0.18"
"GO:0051049","regulation of transport",1003,230,159.15,5,"2.2e-10","0.4355","0.849","0.89"
"GO:0032879","regulation of localization",1461,312,231.82,6,"4.5e-10","0.2546","0.268","0.56"
"GO:0006811","ion transport",750,180,119,7,"7.5e-10","0.2102","0.759","0.91"
"GO:0007267","cell-cell signaling",783,184,124.24,8,"2.8e-09","0.6064","0.092","0.43"
"GO:0006812","cation transport",567,142,89.97,9,"3.2e-09","0.8481","0.974","1.00"
"GO:0050804","modulation of chemical synaptic transmis...",327,90,51.89,10,"3.1e-08","0.0695","0.403","0.58"
