"GO.ID","Term","Annotated","Significant","Expected","Rank in classicKS","classicKS","classicFisher","elimFisher","elimKS"
"GO:0044444","cytoplasmic part",4295,711,677.88,1,"2.1e-05","0.02303","0.708","0.29884"
"GO:0045202","synapse",942,215,148.68,2,"4.0e-05","1.0e-09","0.034","0.01221"
"GO:0005829","cytosol",1785,302,281.73,3,"5.8e-05","0.07365","0.209","5.8e-05"
"GO:0005737","cytoplasm",5380,876,849.12,4,"9.6e-05","0.04374","0.577","0.13947"
"GO:0098590","plasma membrane region",652,137,102.9,5,"0.00017","0.00014","0.312","0.00347"
"GO:0043209","myelin sheath",163,25,25.73,6,"0.00025","0.59626","0.596","0.00025"
"GO:0000932","P-body",42,4,6.63,7,"0.00047","0.91617","0.916","0.00047"
"GO:0044456","synapse part",743,170,117.27,8,"0.00084","6.6e-08","0.037","0.54467"
"GO:0005794","Golgi apparatus",784,111,123.74,9,"0.00091","0.91519","0.915","0.00091"
"GO:0098984","neuron to neuron synapse",308,71,48.61,10,"0.00125","0.00043","0.302","0.41685"
