"GO.ID","Term","Annotated","Significant","Expected","Rank in elimKS","elimKS","classicFisher","elimFisher","classicKS"
"GO:0005829","cytosol",1785,302,281.73,1,"5.8e-05","0.07365","0.2094","5.8e-05"
"GO:0043209","myelin sheath",163,25,25.73,2,"0.00025","0.59626","0.5963","0.00025"
"GO:0000932","P-body",42,4,6.63,3,"0.00047","0.91617","0.9162","0.00047"
"GO:0005794","Golgi apparatus",784,111,123.74,4,"0.00091","0.91519","0.9152","0.00091"
"GO:0005654","nucleoplasm",1444,203,227.91,5,"0.00134","0.97945","0.9794","0.00134"
"GO:1902710","GABA receptor complex",9,1,1.42,6,"0.00148","0.78707","0.7871","0.00148"
"GO:0001931","uropod",4,0,0.63,7,"0.00261","1.00000","1.0000","0.00261"
"GO:0030014","CCR4-NOT complex",13,1,2.05,8,"0.00314","0.89299","0.8930","0.00314"
"GO:0098590","plasma membrane region",652,137,102.9,9,"0.00347","0.00014","0.3115","0.00017"
"GO:0014069","postsynaptic density",290,67,45.77,10,"0.00360","0.00058","0.0063","0.00360"
