"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","elimFisher","classicFisher","classicKS","elimKS"
"GO:0098978","glutamatergic synapse",376,98,59.34,1,"1.1e-07","1.1e-07","0.0099","0.0099"
"GO:0005886","plasma membrane",2184,428,344.7,2,"2.9e-05","1.1e-08","0.2627","0.9370"
"GO:0022625","cytosolic large ribosomal subunit",48,19,7.58,3,"5.9e-05","5.9e-05","0.9962","0.9962"
"GO:0043679","axon terminus",116,34,18.31,4,"0.00016","0.00016","0.2513","0.2513"
"GO:0042788","polysomal ribosome",22,11,3.47,5,"0.00019","0.00019","0.9977","0.9977"
"GO:0043025","neuronal cell body",458,100,72.29,6,"0.00027","0.00027","0.0690","0.0690"
"GO:0098992","neuronal dense core vesicle",9,6,1.42,7,"0.00083","0.00083","0.9934","0.9934"
"GO:0048471","perinuclear region of cytoplasm",399,86,62.97,8,"0.00111","0.00111","0.1642","0.1642"
"GO:0030018","Z disc",68,21,10.73,9,"0.00132","0.00132","0.9379","0.9379"
"GO:0005685","U1 snRNP",13,7,2.05,10,"0.00171","0.00171","0.6666","0.6666"
