"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","elimFisher","classicKS","elimKS"
"GO:0097458","neuron part",1209,267,190.82,1,"2.2e-10","0.0349","0.00615","0.5301"
"GO:0045202","synapse",942,215,148.68,2,"1.0e-09","0.0338","4e-05","0.0122"
"GO:0071944","cell periphery",2260,441,356.7,3,"1.1e-08","0.2924","0.13815","0.9392"
"GO:0005886","plasma membrane",2184,428,344.7,4,"1.1e-08","2.9e-05","0.26267","0.9370"
"GO:0043005","neuron projection",922,205,145.52,5,"2.7e-08","0.0034","0.10632","0.1063"
"GO:0044456","synapse part",743,170,117.27,6,"6.6e-08","0.0367","0.00084","0.5447"
"GO:0098978","glutamatergic synapse",376,98,59.34,7,"1.1e-07","1.1e-07","0.00989","0.0099"
"GO:0042995","cell projection",1342,270,211.81,8,"2.0e-06","0.4002","0.11791","0.1554"
"GO:0036477","somatodendritic compartment",663,148,104.64,9,"2.4e-06","0.5617","0.11398","0.1140"
"GO:0098794","postsynapse",516,118,81.44,10,"8.5e-06","0.1844","0.01276","0.5861"
