"GO.ID","Term","Annotated","Significant","Expected","Rank in classicKS","classicKS","classicFisher","elimFisher","elimKS"
"GO:0098960","postsynaptic neurotransmitter receptor a...",34,6,5.38,1,"0.00015","0.46","0.46","0.20151"
"GO:0022824","transmitter-gated ion channel activity",32,5,5.07,2,"0.00017","0.59","0.59","0.39909"
"GO:0022835","transmitter-gated channel activity",32,5,5.07,3,"0.00017","0.59","0.59","0.39909"
"GO:0099529","neurotransmitter receptor activity invol...",32,5,5.07,4,"0.00017","0.59","0.59","0.44899"
"GO:1904315","transmitter-gated ion channel activity i...",30,4,4.75,5,"0.00018","0.72","0.72","0.00018"
"GO:0005536","glucose binding",5,0,0.79,6,"0.00039","1.00","1.00","0.00039"
"GO:0005230","extracellular ligand-gated ion channel a...",37,7,5.86,7,"0.00094","0.37","0.37","0.81453"
"GO:0017160","Ral GTPase binding",14,0,2.22,8,"0.00099","1.00","1.00","0.00099"
"GO:0031402","sodium ion binding",9,0,1.42,9,"0.00131","1.00","1.00","0.00131"
"GO:0005237","inhibitory extracellular ligand-gated io...",9,1,1.42,10,"0.00151","0.79","0.79","0.00151"
