"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","elimFisher","classicFisher","classicKS","elimKS"
"GO:0004683","calmodulin-dependent protein kinase acti...",21,11,3.32,1,"0.00011","0.00011","0.95","0.95"
"GO:0003735","structural constituent of ribosome",105,32,16.62,2,"0.00011","0.00011","0.99","0.99"
"GO:0005509","calcium ion binding",275,66,43.53,3,"0.00022","0.00022","0.84","0.84"
"GO:0001786","phosphatidylserine binding",31,13,4.91,4,"0.00046","0.00046","0.95","0.95"
"GO:0044325","ion channel binding",83,25,13.14,5,"0.00075","0.00075","0.87","0.87"
"GO:0008157","protein phosphatase 1 binding",9,6,1.42,6,"0.00085","0.00085","0.97","0.97"
"GO:0004864","protein phosphatase inhibitor activity",16,8,2.53,7,"0.00151","0.00151","0.95","0.95"
"GO:0005179","hormone activity",27,11,4.27,8,"0.00167","0.00167","0.88","0.88"
"GO:0008137","NADH dehydrogenase (ubiquinone) activity",20,9,3.17,9,"0.00194","0.00194","0.87","0.87"
"GO:0008179","adenylate cyclase binding",14,7,2.22,10,"0.00301","0.00301","0.88","0.88"
