"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","elimFisher","classicKS","elimKS"
"GO:0005215","transporter activity",505,112,79.95,1,"6.7e-05","0.05500","0.70","0.87"
"GO:0022843","voltage-gated cation channel activity",82,27,12.98,2,"9.1e-05","0.30198","0.96","0.96"
"GO:0022857","transmembrane transporter activity",466,104,73.77,3,"9.5e-05","0.08090","0.62","0.87"
"GO:0004683","calmodulin-dependent protein kinase acti...",21,11,3.32,4,"0.00011","0.00011","0.95","0.95"
"GO:0003735","structural constituent of ribosome",105,32,16.62,5,"0.00011","0.00011","0.99","0.99"
"GO:0015318","inorganic molecular entity transmembrane...",372,85,58.89,6,"0.00018","0.18815","0.69","0.88"
"GO:0005509","calcium ion binding",275,66,43.53,7,"0.00022","0.00022","0.84","0.84"
"GO:0015075","ion transmembrane transporter activity",392,88,62.06,8,"0.00027","0.20125","0.59","0.80"
"GO:0001786","phosphatidylserine binding",31,13,4.91,9,"0.00046","0.00046","0.95","0.95"
"GO:0005198","structural molecule activity",296,68,46.86,10,"0.00068","0.12869","0.99","0.99"
