"GO.ID","Term","Annotated","Significant","Expected","Rank in classicKS","classicKS","classicFisher","elimFisher","elimKS"
"GO:0021680","cerebellar Purkinje cell layer developme...",13,0,1.69,1,"2.6e-05","1.00","1.00","0.00143"
"GO:0071364","cellular response to epidermal growth fa...",19,0,2.48,2,"0.00012","1.00","1.00","0.00012"
"GO:0021884","forebrain neuron development",9,0,1.17,3,"0.00015","1.00","1.00","0.00278"
"GO:0032102","negative regulation of response to exter...",95,7,12.38,4,"0.00036","0.97","0.97","0.00036"
"GO:0044419","interspecies interaction between organis...",112,12,14.59,5,"0.00040","0.81","0.81","0.05195"
"GO:0051271","negative regulation of cellular componen...",105,8,13.68,6,"0.00040","0.97","0.97","0.00444"
"GO:0070849","response to epidermal growth factor",22,0,2.87,7,"0.00047","1.00","1.00","0.19051"
"GO:0048812","neuron projection morphogenesis",303,31,39.48,8,"0.00048","0.95","0.95","0.00515"
"GO:0060548","negative regulation of cell death",348,38,45.34,9,"0.00053","0.90","0.90","0.40839"
"GO:0048858","cell projection morphogenesis",308,31,40.13,10,"0.00057","0.96","0.96","0.73204"
