"GO.ID","Term","Annotated","Significant","Expected","Rank in elimKS","elimKS","classicFisher","elimFisher","classicKS"
"GO:0071364","cellular response to epidermal growth fa...",19,0,2.48,1,"0.00012","1.00","1.00","0.00012"
"GO:0032102","negative regulation of response to exter...",95,7,12.38,2,"0.00036","0.97","0.97","0.00036"
"GO:0048711","positive regulation of astrocyte differe...",7,0,0.91,3,"0.00074","1.00","1.00","0.00074"
"GO:0000002","mitochondrial genome maintenance",16,0,2.08,4,"0.00129","1.00","1.00","0.00129"
"GO:0021680","cerebellar Purkinje cell layer developme...",13,0,1.69,5,"0.00143","1.00","1.00","2.6e-05"
"GO:0043537","negative regulation of blood vessel endo...",11,0,1.43,6,"0.00157","1.00","1.00","0.00157"
"GO:0060485","mesenchyme development",89,6,11.6,7,"0.00167","0.98","0.98","0.00167"
"GO:2000136","regulation of cell proliferation involve...",5,0,0.65,8,"0.00178","1.00","1.00","0.00178"
"GO:1902003","regulation of amyloid-beta formation",11,0,1.43,9,"0.00180","1.00","1.00","0.00180"
"GO:0001964","startle response",15,1,1.95,10,"0.00224","0.88","0.88","0.00224"
