"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","elimFisher","classicFisher","classicKS","elimKS"
"GO:0002181","cytoplasmic translation",39,16,5.08,1,"1.2e-05","1.2e-05","1.00","1.00"
"GO:0015990","electron transport coupled proton transp...",4,4,0.52,2,"0.00029","0.00029","0.99","0.99"
"GO:0006171","cAMP biosynthetic process",5,4,0.65,3,"0.00128","0.00128","0.76","0.76"
"GO:2000095","regulation of Wnt signaling pathway, pla...",3,3,0.39,4,"0.00220","0.00220","0.98","0.98"
"GO:1904959","regulation of cytochrome-c oxidase activ...",3,3,0.39,5,"0.00220","0.00220","0.98","0.98"
"GO:1902259","regulation of delayed rectifier potassiu...",6,4,0.78,6,"0.00345","0.00345","0.74","0.74"
"GO:0022613","ribonucleoprotein complex biogenesis",197,39,25.67,7,"0.00418","0.00418","0.98","0.98"
"GO:0071103","DNA conformation change",53,14,6.91,8,"0.00644","0.00644","0.57","0.57"
"GO:0043123","positive regulation of I-kappaB kinase/N...",23,8,3,9,"0.00646","0.00646","1.00","1.00"
"GO:0042773","ATP synthesis coupled electron transport",40,14,5.21,10,"0.00707","0.00031","0.94","0.94"
