"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","elimFisher","classicKS","elimKS"
"GO:0002181","cytoplasmic translation",39,16,5.08,1,"1.2e-05","1.2e-05","1.00","1.00"
"GO:0043043","peptide biosynthetic process",260,54,33.88,2,"0.00023","0.03296","1.00","1.00"
"GO:0015990","electron transport coupled proton transp...",4,4,0.52,3,"0.00029","0.00029","0.99","0.99"
"GO:0006412","translation",256,53,33.36,4,"0.00029","0.03920","1.00","1.00"
"GO:0042773","ATP synthesis coupled electron transport",40,14,5.21,5,"0.00031","0.00707","0.94","0.94"
"GO:0006518","peptide metabolic process",313,61,40.78,6,"0.00057","0.04370","1.00","1.00"
"GO:0046058","cAMP metabolic process",7,5,0.91,7,"0.00062","0.24249","0.85","0.85"
"GO:0006119","oxidative phosphorylation",53,16,6.91,8,"0.00080","0.51251","0.92","0.92"
"GO:0022904","respiratory electron transport chain",50,15,6.51,9,"0.00124","0.74774","0.99","0.99"
"GO:0006171","cAMP biosynthetic process",5,4,0.65,10,"0.00128","0.00128","0.76","0.76"
