"GO.ID","Term","Annotated","Significant","Expected","Rank in classicKS","classicKS","classicFisher","elimFisher","elimKS"
"GO:0031410","cytoplasmic vesicle",671,80,86.88,1,"6.5e-07","0.82","0.82","4.8e-05"
"GO:0097708","intracellular vesicle",671,80,86.88,2,"6.5e-07","0.82","0.82","1.00000"
"GO:0031982","vesicle",699,85,90.5,3,"2.4e-06","0.76","0.76","0.85793"
"GO:0044297","cell body",360,42,46.61,4,"6.2e-05","0.80","0.80","0.01288"
"GO:0034707","chloride channel complex",14,0,1.81,5,"0.00013","1.00","1.00","0.00013"
"GO:0030425","dendrite",349,40,45.19,6,"0.00013","0.83","0.83","0.00055"
"GO:0097447","dendritic tree",350,40,45.31,7,"0.00016","0.83","0.83","0.60988"
"GO:0032589","neuron projection membrane",29,1,3.75,8,"0.00016","0.98","0.98","0.01982"
"GO:0031253","cell projection membrane",96,9,12.43,9,"0.00018","0.89","0.89","0.00185"
"GO:0036477","somatodendritic compartment",473,61,61.24,10,"0.00020","0.54","0.54","0.84856"
