"GO.ID","Term","Annotated","Significant","Expected","Rank in elimKS","elimKS","classicFisher","elimFisher","classicKS"
"GO:0031410","cytoplasmic vesicle",671,80,86.88,1,"4.8e-05","0.82","0.82","6.5e-07"
"GO:0034707","chloride channel complex",14,0,1.81,2,"0.00013","1.00","1.00","0.00013"
"GO:0030425","dendrite",349,40,45.19,3,"0.00055","0.83","0.83","0.00013"
"GO:0032809","neuronal cell body membrane",12,2,1.55,4,"0.00133","0.47","0.47","0.00133"
"GO:0030673","axolemma",10,0,1.29,5,"0.00161","1.00","1.00","0.00161"
"GO:0031253","cell projection membrane",96,9,12.43,6,"0.00185","0.89","0.89","0.00018"
"GO:0005768","endosome",351,37,45.44,7,"0.00283","0.93","0.93","0.00283"
"GO:0098982","GABA-ergic synapse",56,5,7.25,8,"0.00375","0.87","0.87","0.00375"
"GO:0099634","postsynaptic specialization membrane",51,4,6.6,9,"0.00508","0.91","0.91","0.00508"
"GO:0043025","neuronal cell body",321,40,41.56,10,"0.00547","0.63","0.63","0.00111"
