"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","elimFisher","classicFisher","classicKS","elimKS"
"GO:0022625","cytosolic large ribosomal subunit",42,21,5.44,1,"6.3e-09","6.3e-09","1.00","1.00"
"GO:0042788","polysomal ribosome",24,10,3.11,2,"0.00044","0.00044","1.00","1.00"
"GO:0098800","inner mitochondrial membrane protein com...",69,22,8.93,3,"0.00056","3.1e-05","0.89","0.89"
"GO:0022627","cytosolic small ribosomal subunit",29,11,3.75,4,"0.00060","0.00060","0.99","0.99"
"GO:0005685","U1 snRNP",10,6,1.29,5,"0.00061","0.00061","0.99","0.99"
"GO:0008180","COP9 signalosome",16,7,2.07,6,"0.00234","0.00234","0.97","0.97"
"GO:0005750","mitochondrial respiratory chain complex ...",7,4,0.91,7,"0.00705","0.00705","0.97","0.97"
"GO:0045120","pronucleus",7,4,0.91,8,"0.00705","0.00705","1.00","1.00"
"GO:0070765","gamma-secretase complex",4,3,0.52,9,"0.00781","0.00781","0.96","0.96"
"GO:0070469","respiratory chain",52,16,6.73,10,"0.00958","0.00059","0.92","0.92"
