"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","elimFisher","classicKS","elimKS"
"GO:0022626","cytosolic ribosome",74,31,9.58,1,"4.3e-10","1.00000","0.99","0.99"
"GO:0022625","cytosolic large ribosomal subunit",42,21,5.44,2,"6.3e-09","6.3e-09","1.00","1.00"
"GO:0044391","ribosomal subunit",104,35,13.47,3,"3.2e-08","0.63081","1.00","1.00"
"GO:0005840","ribosome",123,37,15.92,4,"3.5e-07","0.69907","0.99","0.99"
"GO:0044445","cytosolic part",136,39,17.61,5,"6.6e-07","0.59520","0.94","0.94"
"GO:0015934","large ribosomal subunit",67,22,8.67,6,"1.9e-05","0.96621","0.98","0.98"
"GO:0098800","inner mitochondrial membrane protein com...",69,22,8.93,7,"3.1e-05","0.00056","0.89","0.89"
"GO:1990904","ribonucleoprotein complex",392,75,50.75,8,"0.00020","0.59007","0.91","0.91"
"GO:0015935","small ribosomal subunit",40,14,5.18,9,"0.00029","0.15771","0.99","0.99"
"GO:0042788","polysomal ribosome",24,10,3.11,10,"0.00044","0.00044","1.00","1.00"
