"GO.ID","Term","Annotated","Significant","Expected","Rank in classicKS","classicKS","classicFisher","elimFisher","elimKS"
"GO:0015103","inorganic anion transmembrane transporte...",38,2,4.91,1,"0.00022","0.97","0.97","0.0684"
"GO:0005253","anion channel activity",25,2,3.23,2,"0.00023","0.85","0.85","0.1340"
"GO:0030594","neurotransmitter receptor activity",30,3,3.88,3,"0.00084","0.76","0.76","0.0668"
"GO:0016917","GABA receptor activity",10,0,1.29,4,"0.00092","1.00","1.00","0.0508"
"GO:0098960","postsynaptic neurotransmitter receptor a...",21,1,2.71,5,"0.00100","0.95","0.95","0.0508"
"GO:0005254","chloride channel activity",19,1,2.46,6,"0.00163","0.93","0.93","0.0016"
"GO:0005230","extracellular ligand-gated ion channel a...",20,1,2.58,7,"0.00175","0.94","0.94","0.1989"
"GO:0099529","neurotransmitter receptor activity invol...",20,1,2.58,8,"0.00175","0.94","0.94","0.2253"
"GO:0099095","ligand-gated anion channel activity",9,0,1.16,9,"0.00297","1.00","1.00","0.0030"
"GO:0022824","transmitter-gated ion channel activity",19,1,2.46,10,"0.00305","0.93","0.93","1.0000"
